electrophile,core,base,yield
iodomethane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,51.0
iodomethane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,65.0
iodomethane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,36.0
iodomethane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,55.0
iodoethane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,30.0
iodoethane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,58.0
iodoethane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,51.0
iodoethane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,22.0
1-iodopropane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,25.0
1-iodopropane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,48.0
1-iodopropane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,33.0
1-iodopropane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,24.0
1-iodobutane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,45.0
1-iodobutane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,80.0
1-iodobutane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,52.0
1-iodobutane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,30.0
2-(bromomethyl)-1-methylimidazole,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,120.0
2-(bromomethyl)-1-methylimidazole,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,80.0
2-(bromomethyl)-1-methylimidazole,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,84.0
2-(bromomethyl)-1-methylimidazole,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,15.0
2-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,130.0
2-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,123.0
2-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,106.0
2-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,40.0
4-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,105.0
4-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,79.0
4-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,82.0
4-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,2.0
2-(bromomethyl)-6-methylpyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,83.0
2-(bromomethyl)-6-methylpyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,167.0
2-(bromomethyl)-6-methylpyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,76.0
2-(bromomethyl)-6-methylpyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,55.0
1-(bromomethyl)-2-phenylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,55.0
1-(bromomethyl)-2-phenylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,95.0
1-(bromomethyl)-2-phenylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,65.0
1-(bromomethyl)-2-phenylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,35.0
1-(bromomethyl)-4-phenylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,60.0
1-(bromomethyl)-4-phenylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,75.0
1-(bromomethyl)-4-phenylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,66.0
1-(bromomethyl)-4-phenylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,36.0
bromomethylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,67.0
bromomethylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,82.0
bromomethylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,63.0
bromomethylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,37.0
1-bromo-3-methylbut-2-ene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,61.0
1-bromo-3-methylbut-2-ene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,89.0
1-bromo-3-methylbut-2-ene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,60.0
1-bromo-3-methylbut-2-ene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,49.0
iodomethane,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,39.0
iodomethane,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,66.0
iodomethane,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,42.0
iodomethane,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,60.0
iodoethane,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,45.0
iodoethane,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,77.0
iodoethane,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,63.0
iodoethane,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,46.0
1-iodopropane,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,20.0
1-iodopropane,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,86.0
1-iodopropane,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,67.0
1-iodopropane,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,39.0
1-iodobutane,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,23.0
1-iodobutane,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,73.0
1-iodobutane,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,67.0
1-iodobutane,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,45.0
2-(bromomethyl)-1-methylimidazole,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,50.0
2-(bromomethyl)-1-methylimidazole,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,44.0
2-(bromomethyl)-1-methylimidazole,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,35.0
2-(bromomethyl)-1-methylimidazole,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,14.0
2-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,138.0
2-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,141.0
2-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,119.0
2-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,48.0
4-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,69.0
4-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,77.0
4-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,93.0
4-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,0.0
2-(bromomethyl)-6-methylpyridine,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,29.0
2-(bromomethyl)-6-methylpyridine,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,128.0
2-(bromomethyl)-6-methylpyridine,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,30.0
2-(bromomethyl)-6-methylpyridine,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,57.0
1-(bromomethyl)-2-phenylbenzene,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,28.0
1-(bromomethyl)-2-phenylbenzene,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,55.0
1-(bromomethyl)-2-phenylbenzene,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,26.0
1-(bromomethyl)-2-phenylbenzene,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,36.0
1-(bromomethyl)-4-phenylbenzene,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,51.0
1-(bromomethyl)-4-phenylbenzene,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,86.0
1-(bromomethyl)-4-phenylbenzene,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,47.0
1-(bromomethyl)-4-phenylbenzene,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,50.0
bromomethylbenzene,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,39.0
bromomethylbenzene,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,95.0
bromomethylbenzene,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,46.0
bromomethylbenzene,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,44.0
1-bromo-3-methylbut-2-ene,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,45.0
1-bromo-3-methylbut-2-ene,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,95.0
1-bromo-3-methylbut-2-ene,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,63.0
1-bromo-3-methylbut-2-ene,tert-butyl 4-(4-(5-(4-cyanophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,51.0
